municipio,abertura,fechamento,atividade,porte,natureza juridica
Pedro II,2006-07-06,2011-07-03,CONSTRUÇÃO,media/grande,EI – Empresário Individual
Cocal de Telha,2009-01-18,2008-07-13,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,MEI – Microempreendedor Individual
São João do Arraial,2019-06-30,2005-05-28,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,Sociedade Simples Limitada
Colônia do Piauí,2010-09-15,2014-06-10,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,media/grande,MEI – Microempreendedor Individual
Angical do Piauí,2011-06-03,2008-10-27,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,MEI – Microempreendedor Individual
Jurema,2009-10-04,2006-03-21,EDUCAÇÃO,pequena,Sociedade Anônima
Paulistana,2020-04-10,2013-01-07,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,MEI – Microempreendedor Individual
Cristalândia do Piauí,2018-03-26,2012-09-06,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",me,EI – Empresário Individual
Pedro Laurentino,2020-11-13,,EDUCAÇÃO,pequena,Sociedade Anônima
Nazaré do Piauí,2010-01-04,2010-10-31,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",mei,Sociedade Simples Limitada
Riacho Frio,2015-08-30,2008-01-12,ATIVIDADES IMOBILIÁRIAS,pequena,Sociedade Simples Limitada
Currais,2010-01-23,,ALOJAMENTO E ALIMENTAÇÃO,mei,EI – Empresário Individual
Jacobina do Piauí,2010-11-30,2022-11-28,CONSTRUÇÃO,mei,Sociedade Simples Limitada
Baixa Grande do Ribeiro,2014-03-26,,ATIVIDADES IMOBILIÁRIAS,me,Sociedade Anônima
Piracuruca,2013-12-25,2004-07-30,COMÉRCIO,me,Sociedade Simples Limitada
Oeiras,2000-10-17,2014-02-06,ATIVIDADES IMOBILIÁRIAS,mei,Sociedade Simples Limitada
São João do Arraial,2016-01-12,2004-08-31,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,EI – Empresário Individual
Caridade do Piauí,2009-12-22,2001-03-01,CONSTRUÇÃO,me,Eireli
Isaías Coelho,2021-07-16,,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,MEI – Microempreendedor Individual
Pedro Laurentino,2001-01-10,2018-12-29,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,Sociedade Simples Limitada
Altos,2001-05-28,,COMÉRCIO,pequena,Sociedade Simples Limitada
Júlio Borges,2017-08-21,2007-01-10,INFORMAÇÃO E COMUNICAÇÃO,pequena,Eireli
Aroazes,2024-04-15,2006-12-23,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,Sociedade Anônima
João Costa,2019-03-30,,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,Eireli
Dom Inocêncio,2006-08-15,,SERVIÇOS DOMÉSTICOS,me,Eireli
Murici dos Portelas,2016-05-31,,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,Eireli
Cristino Castro,2024-01-09,2002-01-23,ELETRICIDADE E GÁS,mei,Eireli
João Costa,2013-05-07,2008-09-20,COMÉRCIO,mei,Eireli
Coivaras,2023-06-26,2010-11-09,COMÉRCIO,pequena,Eireli
Piripiri,2004-05-09,2011-09-22,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,Sociedade Simples Limitada
Santo Antônio de Lisboa,2002-12-26,2001-06-05,ELETRICIDADE E GÁS,media/grande,EI – Empresário Individual
São Gonçalo do Piauí,2023-07-06,2008-04-26,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,Sociedade Simples Limitada
São Pedro do Piauí,2012-08-05,,SERVIÇOS DOMÉSTICOS,mei,Sociedade Simples Limitada
Ipirá,2015-09-22,2016-12-23,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Sociedade Anônima
Brejo do Piauí,2008-08-21,2005-02-20,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,me,Sociedade Simples Limitada
Geminiano,2020-05-22,2014-12-03,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,Sociedade Anônima
Picos,2005-03-31,2007-09-19,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Sociedade Simples Limitada
Redenção do Gurguéia,2024-06-07,2022-12-17,ELETRICIDADE E GÁS,pequena,Eireli
Campo Alegre do Fidalgo,2005-11-20,,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,EI – Empresário Individual
Pimenteiras,2018-05-14,2019-03-17,INDÚSTRIAS EXTRATIVAS,me,Sociedade Simples Limitada
Lagoa de São Francisco,2007-06-02,2019-03-03,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,EI – Empresário Individual
Cajazeiras do Piauí,2016-04-24,2015-09-24,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,Sociedade Simples Limitada
Colônia do Gurguéia,2013-01-07,2014-09-25,ELETRICIDADE E GÁS,pequena,EI – Empresário Individual
Morro Cabeça no Tempo,2021-11-10,2001-11-19,EDUCAÇÃO,me,Sociedade Simples Limitada
